Designator,Mid X,Mid Y,Layer,Rotation
C1,44.32,45.59,Top,90.0
C2,81.53,12.70,Top,90.0
C3,60.33,11.43,Top,90.0
C4,35.56,49.53,Top,90.0
C5,33.40,48.90,Top,270.0
C6,44.32,37.97,Top,90.0
C7,78.99,12.70,Top,90.0
C8,57.79,11.43,Top,90.0
C9,35.56,41.91,Top,90.0
C10,33.40,18.41,Top,270.0
C11,44.32,30.35,Top,90.0
C12,76.45,12.70,Top,90.0
C13,55.25,11.43,Top,90.0
C14,35.56,34.29,Top,90.0
C15,33.40,26.04,Top,270.0
C16,44.32,22.73,Top,90.0
C17,73.91,12.70,Top,90.0
C18,52.71,11.43,Top,90.0
C19,35.56,26.67,Top,90.0
C20,33.40,33.66,Top,270.0
C21,44.32,15.11,Top,90.0
C22,71.37,12.70,Top,90.0
C23,50.16,11.43,Top,90.0
C24,35.56,19.05,Top,90.0
C25,33.40,41.27,Top,270.0
C26,73.79,37.59,Top,0.0
C27,57.53,25.15,Top,90.0
C28,60.58,25.15,Top,90.0
C29,74.04,40.01,Top,0.0
C30,74.04,43.18,Top,0.0
C31,73.79,31.37,Top,180.0
D1,73.66,46.74,Top,0.0
D2,74.93,51.82,Top,90.0
D3,72.39,51.82,Top,90.0
D4,32.51,53.47,Top,270.0
IC1,38.73,48.26,Top,270.0
IC2,38.73,40.64,Top,270.0
IC3,38.73,33.02,Top,270.0
IC4,38.73,25.40,Top,270.0
IC5,38.73,17.78,Top,270.0
IC6,73.53,34.42,Top,90.0
L1,69.98,23.75,Top,180.0
R1,52.58,52.07,Top,270.0
R2,42.16,50.80,Top,180.0
R3,44.32,49.40,Top,90.0
R4,80.26,12.70,Top,270.0
R5,34.42,45.34,Top,0.0
R6,60.33,14.61,Top,270.0
R7,61.60,14.61,Top,90.0
R8,53.85,52.07,Top,270.0
R9,42.16,43.18,Top,180.0
R10,44.32,41.78,Top,90.0
R11,77.72,12.70,Top,270.0
R12,34.42,37.85,Top,0.0
R13,57.79,14.61,Top,270.0
R14,59.05,14.61,Top,90.0
R15,55.12,52.07,Top,270.0
R16,42.16,35.56,Top,180.0
R17,44.32,34.16,Top,90.0
R18,75.18,12.70,Top,270.0
R19,34.42,30.23,Top,0.0
R20,55.25,14.61,Top,270.0
R21,56.52,14.61,Top,90.0
R22,56.39,52.07,Top,270.0
R23,42.16,27.94,Top,180.0
R24,44.32,26.54,Top,90.0
R25,72.64,12.70,Top,270.0
R26,34.42,22.61,Top,0.0
R27,52.71,14.61,Top,270.0
R28,53.98,14.61,Top,90.0
R29,57.66,52.07,Top,270.0
R30,42.16,20.32,Top,180.0
R31,44.32,18.92,Top,90.0
R32,70.10,12.70,Top,270.0
R33,34.42,14.99,Top,0.0
R34,50.16,14.61,Top,270.0
R35,51.44,14.61,Top,90.0
R36,75.95,34.42,Top,270.0
R37,77.22,34.42,Top,270.0
R38,77.22,37.34,Top,270.0
R39,35.31,53.47,Top,180.0
X2,19.94,50.80,Top,0.0
X5,58.04,37.47,Top,90.0
X6, 7.62,52.07,Top,180.0
X7, 7.62,43.18,Top,180.0
X8, 7.62,34.29,Top,180.0
X9, 7.62,25.40,Top,180.0
X10, 7.62,16.51,Top,180.0
